,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
0,Chemplast Sanmar Ltd.,CHEMPLASTS,Specialty Chemicals,60.0,31.67,7314.15,1815.7,648.66,696.27,11.19,102.4,11.55,,,,-46.06,24.48,-25.19,58.17,-36.38,-2.2,55.95,1.48,24.47,0.0,54.99,5,64.58,11.58,33.37,908.0
1,Tata Communications Ltd.,TATACOMM,Other Telecom Services,65.0,33.67,26386.72,4526.55,1481.76,-122.38,6.46,27.6,9.81,92.32,27.83,313.51,22.0,-0.79,-1.61,18.48,22.01,-7.63,-1.16,19.92,1.87,2.24,58.86,7,198.1,7.53,20.95,159.74
2,Nestle India Ltd.,NESTLEIND,Packaged Foods,60.0,6.67,167800.92,4002.14,2137.32,-1704.3,0.01,80.5,44.45,47.46,163.7,286.77,-1.25,12.18,-9.8,3.0,-1.25,53.81,9.88,-1.4,6.46,1.15,62.76,6,1038.41,26.12,59.24,102.89
3,Procter & Gamble Hygiene & Healthcare Ltd.,PGHH,Personal Products,65.0,8.0,42765.67,979.29,582.18,-236.37,0.0,59.87,14.16,21.24,64.34,518.55,4.59,46.47,0.08,50.5,4.6,-51.5,18.63,19.24,-10.95,1.33,70.64,7,942.34,39.92,109.87,91.25
4,Info Edge (India) Ltd.,NAUKRI,Internet & Catalogue Retail,65.0,49.67,50459.87,699.86,12750.94,113.14,0.0,2.79,29.5,77.33,297.13,941.14,104.74,60.65,43.61,806.81,105.37,-86.32,59.86,76.52,12.88,0.2,38.17,6,5587.88,62.29,4.31,74.0
5,GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,Pharmaceuticals,80.0,33.33,25377.02,828.39,1694.72,300.38,0.0,9.53,6.18,22.87,21.03,49.56,8365.88,9.57,3.06,373.19,8406.98,710.81,1.34,1737.27,-0.77,2.0,75.0,7,594.82,36.57,26.21,63.64
6,Colgate-Palmolive (India) Ltd.,COLPAL,Personal Products,65.0,11.83,41184.06,1310.13,1078.3,-101.24,0.0,23.74,14.16,34.21,38.43,162.24,2.85,3.73,0.4,4.15,2.83,28.23,5.22,2.31,1.65,2.64,51.0,7,238.51,37.15,77.76,62.16
7,Britannia Industries Ltd.,BRITANNIA,Packaged Foods,45.0,9.5,82731.04,3604.28,1524.82,-35.43,0.28,32.01,44.45,26.0,88.33,1213.86,4.23,-12.27,-4.09,-18.19,4.27,2.34,6.77,6.14,-0.69,1.64,50.55,3,390.95,20.28,66.18,59.6
8,ICICI Securities Ltd.,ISEC,Capital Markets,35.0,31.5,13838.9,892.3,1382.6,-232.65,0.0,5.69,8.84,96.54,,,3.13,37.26,-3.88,29.49,3.28,-10.53,32.96,16.05,-5.31,5.77,74.89,3,269.47,10.13,69.24,56.88
9,Page Industries Ltd.,PAGEIND,Other Apparels & Accessories,80.0,9.5,44647.44,1116.04,536.53,-71.1,0.0,41.01,18.65,93.92,145.32,1297.74,64.86,49.16,24.68,57.53,64.86,9.14,36.99,55.11,-6.61,0.92,47.19,8,3250.13,25.46,63.29,49.28
10,Castrol India Ltd.,CASTROLIND,Oil Marketing & Distribution,65.0,32.83,10281.93,1250.7,742.9,-10.45,0.0,6.25,1.58,-23.51,-48.84,-18.89,-6.1,30.94,-14.05,30.05,-6.24,21.1,38.63,-6.26,13.3,5.29,51.0,7,53.02,28.03,61.78,46.07
11,Computer Age Management Services Ltd.,CAMS,Capital Markets,75.0,15.5,11049.2,247.43,286.95,-12.92,0.0,17.05,8.84,,,,22.56,43.28,3.48,39.78,22.8,-4.5,26.07,24.9,2.3,2.24,23.75,7,418.14,29.98,49.77,44.3
12,Indian Energy Exchange Ltd.,IEX,Exchange,60.0,11.5,15021.26,128.44,309.26,33.19,0.0,21.33,13.03,247.87,,,-51.94,45.09,2.6,50.06,43.62,9.95,35.98,39.66,-4.64,0.9,0.0,4,24.64,18.23,53.84,43.96
13,Blue Dart Express Ltd.,BLUEDART,Transportation - Logistics,80.0,24.17,17947.43,1169.52,382.21,-14.0,0.0,20.58,8.78,184.82,78.46,292.85,52.2,45.68,-2.41,275.41,52.19,10.98,34.24,15.54,-7.08,0.53,75.0,8,1153.99,13.51,40.82,43.83
14,Tata Consultancy Services Ltd.,TCS,IT Consulting & Software,70.0,17.83,1214128.14,51572.0,38327.0,5471.0,0.0,13.52,9.85,47.31,183.26,432.31,7.53,13.99,-6.57,18.18,7.35,1.61,17.01,7.97,3.49,1.3,72.3,7,760.42,27.08,52.91,42.99
15,Sanofi India Ltd.,SANOFI,Pharmaceuticals,85.0,34.5,14739.47,731.4,1036.9,340.6,0.0,6.61,6.18,14.11,54.85,195.0,63.39,6.93,5.32,97.74,63.4,163.72,1.31,56.24,2.78,7.66,60.4,8,3135.05,30.85,33.32,42.43
16,Exide Industries Ltd.,EXIDEIND,Auto Parts & Equipment,85.0,80.33,11921.25,3541.44,4366.93,12.86,0.01,1.12,6.66,-31.54,-34.08,2.52,1129.02,-11.42,-21.63,439.19,1130.07,2120.3,-16.37,642.4,6.37,1.43,45.99,7,380.1,31.39,9.21,41.26
17,Mangalore Refinery And Petrochemicals Ltd.,MRPL,Refineries/Petro-Products,80.0,65.0,15834.73,28250.51,2958.2,24.02,1.97,2.2,1.85,48.48,-24.49,65.32,1007.74,607.64,56.66,621.27,1006.61,410.69,167.96,215.11,12.76,0.0,88.58,6,124.99,7.38,17.82,41.03
18,Emami Ltd.,EMAMILTD,Personal Products,70.0,29.17,18148.91,800.68,838.99,6.4,0.0,8.75,14.16,35.96,-23.38,154.69,307.61,7.85,-4.48,84.52,305.74,61.82,11.4,-9.68,-20.73,1.94,54.27,6,141.83,27.44,33.28,40.4
19,Coal India Ltd.,COALINDIA,Coal,75.0,57.67,114873.26,34495.71,17358.09,2443.32,0.08,2.62,2.5,-28.14,-23.72,-45.62,45.97,32.93,16.13,36.68,45.92,46.83,21.1,41.95,15.03,9.39,66.13,6,212.27,9.63,19.67,40.23
20,Tanla Platforms Ltd.,TANLA,Internet Software & Services,85.0,25.17,13827.72,857.64,539.28,383.57,0.0,10.21,6.55,1287.81,2954.42,17615.65,37.4,61.53,4.43,51.42,37.14,-11.0,36.33,39.18,-3.6,0.1,43.74,8,298.6,22.52,48.01,39.82
21,Jindal Stainless (Hisar) Ltd.,JSLHISAR,Iron & Steel Products,75.0,85.5,4743.47,4350.39,1942.48,-11.22,0.24,0.96,5.49,149.29,65.47,,63.86,91.06,7.15,179.99,63.81,11.6,59.14,41.88,3.47,0.0,58.88,8,622.8,19.66,32.67,39.56
22,Angel One Ltd.,ANGELONE,Capital Markets,75.0,35.33,10217.47,685.32,624.8,340.06,0.0,6.43,8.84,,,,98.8,103.4,18.12,110.47,100.85,24.4,77.45,90.37,12.38,2.2,44.0,6,569.58,8.65,55.35,39.43
23,Gillette India Ltd.,GILLETTE,Personal Products,65.0,10.67,16037.95,567.82,249.27,-66.35,0.0,20.33,14.16,-33.45,0.32,109.19,-34.39,28.26,-11.31,34.84,-34.4,-1.69,20.74,-17.74,0.55,1.4,75.0,7,645.43,22.24,50.06,39.33
24,Marico Ltd.,MARICO,Personal Products,55.0,13.17,63172.4,2185.0,1226.0,11.0,0.0,18.51,14.16,31.75,58.66,437.81,14.71,5.66,0.99,4.52,14.61,-19.03,18.03,12.46,-10.22,1.89,59.49,6,75.13,21.17,45.14,36.58
25,Jindal Stainless Ltd.,JSL,Iron & Steel/Interm.Products,80.0,85.67,5226.05,6582.84,1881.26,37.15,0.27,1.0,2.17,181.33,40.27,38.61,147.39,116.95,-5.13,348.74,154.34,68.9,74.0,45.0,15.76,0.0,69.87,7,283.05,12.65,36.24,36.27
26,Indian Railway Catering & Tourism Corporation Ltd.,IRCTC,Travel Support Services,80.0,11.83,49604.0,716.79,663.69,-252.37,0.0,26.33,23.37,,,,-58.86,362.19,-6.28,249.49,105.99,2.38,124.74,85.03,27.91,0.48,67.4,8,66.3,17.29,44.07,35.22
27,Tata Steel Ltd.,TATASTEEL,Iron & Steel/Interm.Products,75.0,86.83,107373.78,69615.7,40153.93,10098.67,0.39,0.92,2.17,72.1,72.03,108.91,38.9,108.13,-23.61,436.08,46.84,1.92,55.52,11.75,14.05,1.45,33.92,8,2663.39,14.06,28.31,35.08
28,Esab India Ltd.,ESABINDIA,Other Industrial Goods,75.0,11.5,5601.28,265.94,84.31,-0.11,0.0,22.93,6.68,215.57,500.27,692.78,8.2,37.78,-17.4,42.2,8.16,12.44,30.14,4.53,17.28,1.79,73.72,7,442.26,19.33,45.42,34.52
29,Tata Elxsi Ltd.,TATAELXSI,IT Consulting & Software,70.0,7.33,50049.67,699.83,549.67,48.64,0.0,31.26,9.85,817.54,911.86,7283.28,38.94,46.57,0.11,49.32,38.94,6.0,34.8,36.87,7.29,0.53,44.08,7,714.5,25.34,42.91,34.33
30,Sonata Software Ltd.,SONATSOFTW,IT Consulting & Software,70.0,36.67,7161.87,1508.66,376.47,96.25,0.0,6.44,9.85,94.67,354.49,3611.44,21.53,22.25,-22.92,54.3,21.48,3.31,32.88,25.52,-21.23,4.55,28.17,6,293.69,14.73,40.97,34.24
31,Thyrocare Technologies Ltd.,THYROCARE,Healthcare Services,65.0,29.33,3340.31,132.71,176.05,4.24,0.0,6.34,8.63,33.52,-11.69,,-43.42,37.15,-17.96,55.67,-43.74,-1.21,21.9,-27.97,11.21,2.38,71.18,7,273.01,28.98,42.39,33.45
32,Deepak Nitrite Ltd.,DEEPAKNTR,Commodity Chemicals,80.0,26.83,24495.5,1875.89,1066.64,6.75,0.06,7.34,4.83,525.33,1047.94,10771.37,-7.9,28.59,-29.47,37.49,-7.89,10.21,56.23,-10.15,8.71,0.31,45.72,7,656.23,24.07,39.86,31.95
33,Triveni Turbine Ltd.,TRITURBINE,Heavy Electrical Equipment,70.0,33.0,5035.48,244.32,270.19,-29.02,0.0,5.87,10.16,50.48,11.61,267.33,41.67,10.19,28.03,163.69,41.8,-7.46,22.18,71.57,5.07,1.41,67.78,6,70.62,20.24,19.76,31.54
34,JSW Steel Ltd.,JSWSTEEL,Iron & Steel/Interm.Products,85.0,60.0,139812.03,47128.0,20665.0,7560.0,0.86,2.54,2.17,108.55,198.07,766.65,-22.81,93.67,-37.5,161.22,-22.96,-25.77,83.89,1.85,23.18,1.12,45.01,7,593.06,10.51,24.85,30.7
35,Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Asset Management Cos.,60.0,24.67,11741.76,347.06,672.77,9.93,0.0,5.35,5.65,,,,1.1,13.2,-5.13,27.84,1.14,-14.88,16.81,0.59,-3.22,1.37,86.5,5,200.21,27.63,39.38,30.62
36,MindTree Ltd.,MINDTREE,IT Consulting & Software,65.0,22.67,49897.53,2987.3,1652.9,255.3,0.0,9.11,9.85,220.15,474.77,1805.6,49.07,32.53,-4.27,48.84,49.1,8.14,33.41,39.22,5.36,0.91,60.99,6,865.87,20.26,37.95,30.19
37,VST Industries Ltd.,VSTIND,Cigarettes-Tobacco Products,45.0,31.83,4728.0,320.12,320.23,-16.85,0.0,4.4,5.23,-10.72,-8.38,73.93,19.72,0.26,-0.6,3.04,19.72,5.4,6.25,18.35,-29.86,3.72,32.16,4,1801.93,20.13,39.02,29.8
38,Clean Science & Technology Ltd.,CLEAN,Specialty Chemicals,55.0,6.5,15506.91,211.96,228.5,0.18,0.0,20.18,11.55,,,,,15.81,,15.18,,7.57,32.86,,13.16,0.0,78.51,4,187.12,24.71,38.61,29.73
39,Suven Pharmaceuticals Ltd.,SUVENPHAR,Pharmaceuticals,75.0,21.0,11824.54,380.72,453.8,-4.51,0.02,7.74,6.18,,,,10.09,31.54,19.38,25.24,10.29,-42.73,37.96,79.29,-7.08,1.29,60.0,8,155.12,24.8,39.07,29.71
40,Crisil Ltd.,CRISIL,Other Financial Services,70.0,13.5,23548.63,615.05,503.91,23.84,0.0,14.94,6.79,116.8,67.9,202.83,45.04,19.56,15.07,31.31,45.62,-27.88,15.14,39.33,-15.73,1.43,66.79,6,578.97,18.6,34.16,29.55
41,Shyam Metalics and Energy Ltd.,SHYAMMETL,Iron & Steel/Interm.Products,85.0,74.5,7374.38,2871.76,1720.64,134.14,0.02,1.26,2.17,,,,2.41,86.52,-12.95,104.48,11.19,2.22,65.39,6.62,10.82,2.49,88.35,7,589.41,20.46,38.04,29.55
42,Balaji Amines Ltd.,BALAMINES,Specialty Chemicals,70.0,24.83,9420.75,781.15,368.42,31.92,0.05,7.16,11.55,671.03,774.45,7779.54,28.68,68.84,-18.76,54.67,28.67,21.4,76.66,50.29,37.91,0.34,53.7,6,1018.92,19.65,40.87,29.47
43,Infosys Ltd.,INFY,IT Consulting & Software,55.0,21.33,622790.98,32913.0,22112.0,-7173.0,0.0,8.21,9.85,102.61,219.33,379.77,13.38,12.92,-12.03,14.26,12.02,-2.13,20.71,8.53,1.28,2.09,13.11,6,462.45,18.75,35.96,29.34
44,Allcargo Logistics Ltd.,ALLCARGO,Transportation - Logistics,85.0,65.83,6825.42,5786.65,925.74,15.24,0.31,1.93,8.78,157.7,61.0,326.6,358.9,139.15,29.6,435.41,359.6,-26.02,90.6,241.79,-1.59,1.08,69.92,8,349.76,9.47,23.71,29.27
45,Indus Towers Ltd.,INDUSTOWER,Other Telecom Services,65.0,54.83,56014.27,7225.3,6373.1,-98.0,0.11,2.53,9.81,-24.36,-44.32,,33.99,107.97,8.8,68.65,34.08,16.41,95.6,19.75,2.73,5.29,67.49,8,209.13,13.28,25.44,28.77
46,Vedanta Ltd.,VEDL,Aluminium and Aluminium Products,75.0,77.5,87279.83,40433.0,18802.0,-335.0,0.55,1.06,1.0,32.77,-0.99,22.64,-9.84,64.08,9.62,62.06,-9.84,39.27,48.0,52.45,16.79,32.58,69.69,9,502.82,9.46,28.99,28.75
47,Abbott India Ltd.,ABBOTINDIA,Pharmaceuticals,80.0,12.67,38539.96,1276.07,798.7,73.13,0.0,13.67,6.18,103.45,327.43,1147.0,38.66,18.04,24.79,15.64,38.66,6.13,13.79,42.01,2.5,1.52,74.99,7,3349.91,18.9,36.37,28.32
48,Hindustan Zinc Ltd.,HINDZINC,Zinc,60.0,39.33,106140.01,9074.0,9629.0,,0.06,3.1,3.03,2.7,-1.59,111.98,18.06,39.01,1.12,20.66,18.02,8.4,25.39,25.64,10.1,7.17,64.92,7,203.98,21.55,37.65,28.08
49,Mastek Ltd.,MASTEK,IT Consulting & Software,75.0,31.17,6388.51,599.46,295.12,350.81,0.11,5.23,9.85,352.09,744.98,1870.71,10.77,26.9,-5.34,40.97,31.96,8.5,26.87,26.96,5.37,0.75,37.3,6,948.77,11.86,27.85,27.54
50,Network 18 Media & Investments Ltd.,NETWORK18,Broadcasting & Cable TV,85.0,55.5,7098.31,1632.02,207.54,212.2,0.0,1.52,1.77,144.32,35.19,76.1,57.89,35.65,-16.66,542.94,58.06,-36.3,24.87,-6.84,-2.19,0.0,75.0,9,44.8,2.26,20.77,27.49
51,Happiest Minds Technologies Ltd.,HAPPSTMNDS,IT Consulting & Software,50.0,8.5,12655.97,310.48,181.2,-18.74,0.03,18.48,9.85,,,,44.31,34.56,-5.69,11.54,44.55,6.52,41.76,38.67,5.86,0.78,53.26,3,115.42,16.1,34.55,27.21
52,Fine Organic Industries Ltd.,FINEORG,Specialty Chemicals,80.0,14.17,15238.48,631.26,259.61,53.31,0.03,15.89,11.55,253.17,,,283.41,82.94,72.72,115.76,283.29,134.44,65.98,218.04,33.11,0.22,75.0,7,772.03,20.99,36.3,27.06
53,Mahindra Holidays & Resorts India Ltd.,MHRIL,Hotels,60.0,30.0,4390.97,582.83,67.51,-8.27,8.49,16.84,4.79,40.41,-15.15,71.15,205.19,36.21,69.98,616.24,259.75,18.38,17.95,70.53,-1.96,0.0,67.22,6,31.43,0.76,2.92,27.02
54,NMDC Ltd.,NMDC,Mining,65.0,75.83,32602.99,7034.83,9379.6,358.53,0.05,0.93,15.14,-1.59,6.92,-38.91,-35.68,43.16,-35.36,49.43,-35.91,-11.34,69.19,-30.33,14.1,13.25,60.79,6,293.26,20.91,34.32,26.8
55,Finolex Industries Ltd.,FINPIPE,Plastic Products,70.0,55.5,8512.94,1619.33,1051.32,-25.89,0.0,2.17,7.69,36.86,14.07,1047.16,65.56,3.48,-49.43,42.5,65.68,179.05,33.82,57.1,58.62,2.92,52.47,7,155.34,19.66,24.66,26.76
56,eClerx Services Ltd.,ECLERX,BPO/KPO,80.0,37.17,6540.17,601.57,417.4,171.74,0.0,4.08,2.92,150.48,46.73,334.58,23.52,47.44,-4.65,47.72,20.26,11.41,36.65,20.73,5.81,0.05,53.38,7,1159.72,20.16,32.91,26.62
57,Oracle Financial Services Software Ltd.,OFSS,IT Consulting & Software,65.0,33.33,27065.08,1318.85,1888.83,375.52,0.0,3.81,9.85,-1.42,-12.43,29.21,4.43,1.23,-11.19,7.21,4.66,10.66,4.69,-6.2,0.82,6.06,73.11,5,2014.04,21.62,32.79,26.6
58,KPR Mill Ltd.,KPRMILL,Textiles,65.0,30.83,17576.08,1461.33,841.84,-83.86,0.2,5.55,3.69,316.8,215.42,5796.79,-76.38,46.91,-3.12,63.38,18.06,3.78,37.57,24.44,15.03,0.03,0.0,5,225.79,17.29,29.95,26.41
59,Zydus Lifesciences Ltd.,ZYDUSLIFE,Pharmaceuticals,75.0,57.83,36624.39,3942.9,4487.3,21.6,0.02,1.92,6.18,50.41,-32.06,133.98,-41.48,-0.01,-16.46,110.32,-41.47,-20.58,2.32,5.38,5.71,0.98,74.88,6,428.33,16.14,14.29,26.39
60,Hindustan Aeronautics Ltd.,HAL,Defence,75.0,50.83,60194.77,12061.79,5080.04,6866.83,0.0,3.12,4.17,151.56,,,91.46,1.11,-14.84,56.82,91.43,232.67,10.78,4.9,96.22,2.22,75.15,7,1405.21,8.69,15.83,26.3
61,Adani Power Ltd.,ADANIPOWER,Electric Utilities,70.0,37.33,104233.77,13307.92,4911.58,-828.06,2.02,5.57,35.85,424.76,897.23,466.56,1503.61,13.22,94.92,286.74,35280.58,2026.17,12.56,270.66,97.69,0.0,74.97,8,117.87,5.99,16.45,26.26
62,RHI Magnesita India Ltd.,RHIM,Other Industrial Goods,75.0,26.33,7853.4,592.0,269.0,32.96,0.03,7.63,6.68,138.07,254.76,1218.38,134.85,84.06,45.82,96.89,134.67,31.22,44.99,99.48,8.58,0.51,70.19,6,154.99,16.06,33.67,26.14
63,Larsen & Toubro Infotech Ltd.,LTI,IT Consulting & Software,50.0,19.0,74031.13,4435.6,2296.8,-353.2,0.08,8.39,9.85,132.23,438.7,,16.4,12.23,-10.09,18.63,16.84,4.08,27.61,19.78,3.96,1.18,74.05,5,1219.12,18.41,33.19,26.05
64,Lux Industries Ltd.,LUXIND,Other Apparels & Accessories,85.0,38.0,5470.49,592.96,339.67,78.63,0.01,4.37,18.65,50.41,76.64,,-19.23,24.42,-12.18,25.16,-19.23,-27.19,17.71,-12.32,-11.65,0.66,73.95,6,1008.34,16.88,34.99,25.93
65,Bayer Cropscience Ltd.,BAYERCROP,Agrochemicals,75.0,20.0,22619.36,979.0,645.3,137.6,0.0,8.95,5.33,47.9,9.16,510.95,146.7,-0.07,84.84,30.87,146.69,80.07,10.73,106.29,-2.71,2.98,71.43,7,1348.33,14.82,29.74,25.56
66,BASF India Ltd.,BASF,Specialty Chemicals,70.0,35.0,11385.84,3400.55,594.84,73.16,0.0,4.87,11.55,98.71,68.24,358.86,168.22,44.02,-18.82,7.64,168.5,35.77,37.06,11.92,2.97,0.38,73.33,7,1291.81,9.73,30.89,25.46
67,Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals,80.0,18.33,95925.75,2570.83,2960.45,1987.17,0.0,8.18,6.18,125.59,463.02,629.08,78.21,35.74,9.48,49.19,78.21,-0.84,29.04,56.37,1.01,0.55,51.94,8,1052.94,22.13,30.25,25.24
68,HDFC Asset Management Company Ltd.,HDFCAMC,Asset Management Cos.,50.0,18.33,37329.67,580.93,1393.13,0.19,0.0,6.75,5.65,-14.07,,,8.56,9.28,-3.29,5.08,8.69,-4.5,10.51,4.36,-6.07,4.34,68.81,4,617.3,23.69,32.92,25.19
69,Supreme Industries Ltd.,SUPREMEIND,Plastic Products,55.0,22.83,21796.55,2565.69,968.45,-243.37,0.0,5.67,7.69,52.71,43.18,667.23,-28.09,-3.28,-37.4,-0.99,-28.09,31.8,22.5,-22.08,31.46,1.4,48.85,5,720.32,19.38,25.84,25.19
70,Petronet LNG Ltd.,PETRONET,Oil Marketing & Distribution,65.0,55.17,32362.5,11241.74,3438.11,-126.69,0.0,2.37,1.58,-13.41,-0.77,204.95,24.0,11.69,-27.3,16.97,23.99,-31.78,64.76,9.63,-11.41,4.87,50.0,7,216.78,16.09,25.65,25.15
71,Procter & Gamble Health Ltd.,PGHL,Pharmaceuticals,50.0,16.33,6741.6,270.17,185.26,-171.64,0.0,9.58,6.18,2.19,277.03,619.97,224.41,-22.0,83.12,-30.42,224.41,14.09,-27.93,109.36,-3.63,4.21,51.82,5,1031.72,17.92,31.32,25.12
72,Tube Investments of India Ltd.,TIINDIA,Auto Parts & Equipment,75.0,22.17,33845.81,3447.25,746.16,213.98,0.11,9.08,6.66,346.71,164.54,1114.54,21.97,125.85,9.07,168.52,24.3,-35.89,103.95,21.55,0.14,0.2,46.46,6,409.97,8.64,28.56,25.03
73,Laurus Labs Ltd.,LAURUSLABS,Pharmaceuticals,45.0,19.17,25180.66,1426.12,827.52,27.02,0.18,7.5,6.18,587.6,282.25,,-22.42,-8.27,-16.75,-15.87,-22.31,49.94,2.31,-16.51,38.5,0.43,27.27,3,147.18,11.87,27.63,24.69
74,APL Apollo Tubes Ltd.,APLAPOLLO,Iron & Steel Products,70.0,25.83,20819.58,4225.74,557.29,-28.27,0.15,8.45,5.49,450.78,442.49,5291.12,-31.73,39.27,-20.88,54.73,36.73,40.98,53.52,26.49,30.47,0.0,34.52,6,222.07,12.51,29.0,24.61
75,Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,Fertilizers,70.0,58.67,11235.53,3331.67,1565.98,740.44,0.39,1.76,5.26,55.77,138.16,277.03,-45.63,-8.17,-46.32,-5.37,-45.62,-44.01,26.5,-39.81,-30.27,3.33,60.46,5,360.4,11.78,21.4,24.47
76,ITC Ltd.,ITC,Cigarettes-Tobacco Products,50.0,26.67,335007.71,18252.64,15242.66,-43.48,0.0,5.33,5.23,-0.6,-12.97,64.56,11.48,21.5,-7.14,15.82,11.72,3.43,20.42,11.88,-3.33,4.23,0.0,5,119.11,19.72,31.89,24.4
77,Coforge Ltd.,COFORGE,IT Consulting & Software,60.0,22.17,22755.36,1766.1,661.7,-26.2,0.16,8.03,9.85,179.61,568.73,1235.67,55.35,41.36,7.81,45.24,56.17,13.06,38.09,48.34,5.11,1.39,40.09,5,1066.12,13.35,24.54,24.21
78,Metropolis Healthcare Ltd.,METROPOLIS,Healthcare Services,50.0,18.83,7359.43,311.58,214.18,278.04,0.18,8.29,8.63,50.6,,,-35.19,19.86,-25.95,16.98,-34.82,-2.56,23.36,-18.21,4.38,0.56,49.79,3,404.29,13.99,24.18,24.16
79,Coromandel International Ltd.,COROMANDEL,Fertilizers,50.0,39.5,27538.47,4303.6,1528.46,629.76,0.0,4.33,5.26,128.34,125.62,264.81,85.88,6.65,-1.7,15.0,85.94,-24.06,35.06,64.95,-16.69,1.28,57.53,5,503.82,13.54,31.11,24.03
80,TCI Express Ltd.,TCIEXP,Transportation - Logistics,70.0,14.33,6185.78,300.28,128.86,14.62,0.0,11.54,8.78,147.83,250.55,,-16.88,30.08,-13.38,28.08,-15.6,2.28,27.95,-8.95,3.92,0.5,66.69,7,323.85,19.61,31.76,24.03
81,Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare Facilities,70.0,26.0,9245.21,380.53,332.71,11.62,0.1,6.55,6.72,,,,30.57,39.07,8.42,65.33,39.59,-0.6,24.7,15.9,-5.39,0.0,38.84,7,406.06,17.44,27.38,23.98
82,Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Household Appliances,55.0,18.67,21648.46,1570.07,578.38,238.39,0.0,6.69,6.46,48.74,55.05,,-29.22,6.8,-1.33,-6.21,-29.12,19.08,12.04,-4.28,9.74,0.73,5.94,4,102.44,8.96,23.29,23.57
83,National Aluminium Company Ltd.,NATIONALUM,Aluminium and Aluminium Products,80.0,76.17,13306.4,4492.1,2951.41,195.05,0.0,1.06,1.0,44.04,15.83,18.67,10.93,153.37,11.45,127.13,9.59,23.45,59.06,77.52,15.04,8.28,51.28,7,157.2,17.08,28.06,23.51
84,Orient Electric Ltd.,ORIENTELEC,Consumer Electronics,75.0,21.67,5640.95,756.0,126.64,133.0,0.0,10.42,9.02,67.46,,,-22.03,5.38,-11.34,5.76,-22.16,28.1,20.37,-17.33,11.05,0.75,38.52,8,58.53,10.66,30.89,23.39
85,Titan Company Ltd.,TITAN,Gems & Jewellery,90.0,14.0,174720.76,7872.0,2173.0,104.0,0.0,18.77,18.92,48.06,281.41,809.24,-9.75,93.79,-6.58,123.33,-9.57,-49.2,33.0,-6.64,-22.33,0.2,52.9,8,240.02,10.25,29.73,23.35
86,Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance (including NBFCs),45.0,47.67,10832.4,1055.23,1295.4,845.46,0.7,1.9,5.04,5.0,-34.5,632.56,-33.45,5.07,-19.57,5.17,-33.16,25.71,18.97,-25.71,2.57,1.65,69.5,4,864.42,7.73,20.52,23.08
87,Solar Industries India Ltd.,SOLARINDS,Other Industrial Products,70.0,13.67,24911.92,1317.62,441.28,-50.65,0.23,12.37,7.94,134.97,238.64,1403.47,84.39,148.81,-4.01,59.68,84.45,64.45,56.37,57.85,29.37,0.49,73.15,5,494.2,11.84,27.49,23.05
88,Akzo Nobel India Ltd.,AKZOINDIA,Furniture-Furnishing-Paints,70.0,26.33,8093.42,872.2,290.15,-115.4,0.0,6.42,15.89,-1.13,-1.97,105.6,0.49,26.91,-5.52,39.74,0.61,-10.88,29.73,5.74,-5.17,3.94,74.76,6,630.23,11.19,26.94,23.03
89,L&T Technology Services Ltd.,LTTS,IT Consulting & Software,70.0,21.0,33334.32,1798.0,957.0,59.7,0.0,8.01,9.85,77.96,337.62,,33.93,40.45,6.49,44.28,34.7,5.31,19.96,28.9,4.07,1.09,73.9,6,896.91,15.71,28.71,22.99
90,Narayana Hrudayalaya Ltd.,NH,Healthcare Facilities,85.0,30.67,13082.16,950.49,341.93,-2.36,0.29,8.78,6.72,161.29,103.97,,1.49,258.87,10.26,2490.46,1.34,-29.3,43.11,21.55,-1.97,0.0,63.85,8,165.64,10.92,21.46,22.96
91,HLE Glasscoat Ltd.,HLEGLAS,Industrial Machinery,45.0,7.0,4480.26,251.03,58.24,0.0,0.51,17.67,8.44,,,,11.19,19.72,-15.77,11.18,30.25,201.21,35.18,35.03,61.07,0.12,70.32,2,422.22,7.64,25.41,22.94
92,Dr. Lal Pathlabs Ltd.,LALPATHLAB,Healthcare Services,45.0,13.33,18091.95,497.5,344.8,47.58,0.11,11.71,8.63,97.57,165.19,,-26.63,28.52,-11.88,18.24,-26.5,6.98,31.07,-1.77,-2.29,0.92,55.23,4,415.42,14.65,27.25,22.86
