,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
299,Syngene International Ltd.,SYNGENE,Pharmaceuticals,70.0,13.83,22797.47,772.8,395.8,131.1,0.16,6.9,6.18,73.48,148.75,,-8.17,18.5,0.95,-2.25,-7.97,42.12,18.15,-1.41,18.19,0.0,70.41,6,135.21,7.11,12.43,12.0
300,Privi Speciality Chemicals Ltd.,PRIVISCL,Specialty Chemicals,50.0,20.33,4205.88,385.53,97.38,-69.26,0.47,5.13,11.55,105.09,122.39,,-50.0,-6.62,-38.58,-16.7,-50.03,19.9,10.77,-31.14,-4.48,0.19,74.05,4,343.06,4.47,12.15,11.98
301,VIP Industries Ltd.,VIPIND,Other Apparels & Accessories,80.0,9.5,9015.12,361.73,66.94,13.53,0.0,16.1,18.65,43.46,241.79,690.45,422.22,321.23,595.15,168.65,427.78,-62.99,98.81,96.97,-10.43,0.39,50.39,6,64.91,5.44,15.53,11.95
302,Honeywell Automation India Ltd.,HONAUT,Other Electrical Equipment/Products,55.0,8.0,30509.98,693.21,339.13,-28.2,0.0,10.75,8.55,42.0,200.23,1198.11,-30.14,-26.44,-31.93,-26.28,-30.14,-19.01,-3.07,-26.4,-22.32,0.25,75.0,6,5263.01,8.45,15.96,11.95
303,Axis Bank Ltd.,AXISBANK,Banks,40.0,49.33,197290.43,23000.69,14119.29,-34282.61,1.69,1.67,2.35,-19.75,30.33,220.87,50.0,-5.33,-12.95,96.22,50.19,11.64,6.51,24.66,3.14,0.0,9.7,3,631.01,1.18,5.38,11.95
304,Housing and Urban Development Corporation Ltd.,HUDCO,Housing Finance ,70.0,75.67,6916.56,1744.28,1716.41,1063.45,0.0,0.48,2.16,-14.37,-48.28,,41.83,-1.65,13.64,8.74,41.91,283.81,-3.85,11.38,1.59,6.28,81.81,7,118.07,2.17,43.7,11.86
305,La Opala RG Ltd.,LAOPALA,Houseware,65.0,24.5,2954.26,94.25,87.37,-0.04,0.02,3.99,7.77,41.38,-1.06,2382.74,-6.15,78.75,5.91,76.25,-6.18,-42.5,55.84,-1.17,-17.45,1.13,65.64,6,108.7,10.32,16.24,11.79
306,EPL Ltd.,EPL,Containers & Packaging,60.0,37.17,4990.76,882.4,214.4,-77.2,0.2,2.69,2.27,21.96,32.38,818.6,-14.44,-5.73,-12.36,-10.33,-14.26,-14.71,10.9,-5.25,-0.36,2.66,51.91,5,94.74,6.51,14.05,11.75
307,Endurance Technologies Ltd.,ENDURANCE,Auto Parts & Equipment,70.0,20.83,19150.54,2091.48,460.71,-112.17,0.05,4.89,6.66,22.19,53.0,,-27.33,-7.27,-20.58,-11.35,-27.33,43.91,15.39,-20.42,10.04,0.44,75.0,7,453.18,7.86,14.85,11.75
308,City Union Bank Ltd.,CUB,Banks,60.0,49.5,10132.31,1252.87,760.17,893.41,0.81,1.54,2.35,-36.76,-7.31,224.41,87.42,-4.64,57.78,28.23,87.93,6.55,0.5,37.74,1.42,0.15,0.0,5,143.5,1.23,6.35,11.54
309,Bosch Ltd.,BOSCHLTD,Auto Parts & Equipment,65.0,27.0,43227.88,3403.6,1218.3,33.7,0.0,4.05,6.66,-11.45,-36.95,70.21,-27.35,25.53,-31.7,152.76,-27.37,49.34,19.15,-28.29,6.49,0.78,70.54,6,5800.0,7.9,13.77,11.4
310,Star Cement Ltd.,STARCEMENT,Cement & Cement Products,65.0,51.0,3421.39,758.43,246.77,15.95,0.0,1.58,2.5,-30.47,-27.93,,5.8,3.8,-12.66,31.87,3.67,101.77,29.0,8.73,35.02,0.0,67.33,7,85.85,8.98,10.97,11.38
311,Dr. Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals,75.0,26.0,72811.28,5596.8,2182.5,1274.5,0.03,3.79,6.18,70.51,64.89,171.81,-82.62,-2.64,-62.71,11.83,-82.59,-86.32,13.91,-49.56,2.56,0.57,26.72,7,1845.89,7.33,15.44,11.35
312,Bajaj Finserv Ltd.,BAJAJFINSV,Holding Companies,40.0,23.33,180850.9,18861.67,4556.77,2550.55,1.35,2.73,2.0,34.59,181.57,1664.8,37.56,9.22,7.11,1.93,37.49,7.19,12.95,31.28,7.25,0.03,60.77,4,5181.58,1.36,16.68,11.32
313,KRBL Ltd.,KRBL,Packaged Foods,70.0,48.83,5240.96,994.49,459.4,144.99,0.01,1.29,44.45,-28.61,-41.64,1071.84,-21.12,-19.48,-23.33,-17.8,-21.02,48.66,5.95,-20.0,-14.4,1.57,59.8,5,275.57,9.67,14.79,11.28
314,Amara Raja Batteries Ltd.,AMARAJABAT,Auto Parts & Equipment,65.0,45.33,8048.68,2196.93,512.57,45.74,0.0,1.77,6.66,-24.04,-43.86,215.86,-47.79,-8.22,-32.91,-20.76,-47.8,-31.97,21.25,-32.24,-7.82,2.12,28.06,6,424.23,8.03,14.56,11.25
315,Jyothy Labs Ltd.,JYOTHYLAB,Personal Products,70.0,25.67,5675.21,552.44,161.98,56.94,0.0,4.05,14.16,-1.5,-13.17,165.5,28.75,-21.07,-26.87,-18.79,29.58,-1.17,14.92,22.46,1.42,2.59,62.89,7,61.58,8.0,13.89,11.22
316,HFCL Ltd.,HFCL,Telecom Cables,75.0,30.17,7784.33,1212.56,313.13,4.86,0.04,2.76,2.62,187.53,365.02,404.46,-28.79,18.28,-19.49,31.02,-22.86,-16.66,6.97,-18.16,-2.65,0.27,39.23,7,32.41,6.05,20.53,11.18
317,Nesco Ltd.,NESCO,Realty,70.0,29.67,3870.37,103.06,189.17,-2.94,0.0,2.28,4.74,-3.2,15.82,347.28,34.75,17.94,8.36,9.69,34.74,8.55,7.51,28.39,-2.46,0.55,68.54,8,381.52,9.59,12.43,11.14
318,Saregama India Ltd.,SAREGAMA,Movies & Entertainment,75.0,24.67,6803.84,199.08,152.6,4.13,0.0,4.92,7.09,538.22,1225.38,4385.37,-88.33,43.81,2.52,35.58,30.19,11.08,30.19,32.58,19.89,0.85,57.65,6,112.94,9.04,14.48,11.07
319,FDC Ltd.,FDC,Pharmaceuticals,45.0,35.17,4136.69,350.72,216.4,0.58,0.0,2.11,6.18,37.28,33.11,215.99,-77.62,-24.06,-65.8,-28.19,-77.71,-70.74,12.15,-55.2,-0.21,0.0,69.36,3,182.83,9.53,14.63,11.05
320,Aditya Birla Capital Ltd.,ABCAPITAL,Holding Companies,55.0,47.67,22231.94,6620.15,1705.94,-459.31,0.0,1.3,2.0,-1.45,,,20.0,4.82,-9.54,51.43,20.02,-21.93,15.4,6.97,15.97,0.0,71.07,4,106.0,1.2,29.61,11.01
321,HEG Ltd.,HEG,Other Industrial Goods,80.0,71.67,3987.11,690.46,431.03,-11.43,0.0,1.02,6.68,-32.66,219.34,406.52,903.12,990.85,1991.04,2502.97,903.92,13.91,66.61,753.53,12.68,0.29,55.13,8,1596.06,8.12,13.11,11.01
322,Advanced Enzyme Technologies Ltd.,ADVENZYMES,Biotechnology,55.0,27.0,3041.7,135.12,120.22,110.55,0.01,2.67,3.87,60.03,-14.11,,-22.89,-13.01,-25.73,-18.21,-22.88,-11.11,4.92,-22.76,-1.37,0.33,52.7,5,157.1,9.43,14.31,10.98
323,Ambuja Cements Ltd.,AMBUJACEM,Cement & Cement Products,75.0,32.17,72763.97,7990.34,2492.04,2786.35,0.0,2.24,2.5,67.75,52.21,115.43,-30.4,24.07,-24.34,17.54,-30.44,126.69,17.43,-21.75,3.6,1.72,63.19,8,214.98,6.15,15.92,10.96
324,Avenue Supermarts Ltd.,DMART,Department Stores,75.0,7.33,225422.36,8819.02,1492.55,85.64,0.04,16.48,16.09,150.26,332.51,,3.13,43.34,1.79,35.75,3.13,-22.75,27.75,16.81,-4.68,0.0,74.99,6,330.86,9.64,14.85,10.91
325,Aurobindo Pharma Ltd.,AUROPHARMA,Pharmaceuticals,65.0,51.17,30547.91,5858.25,2648.15,2562.8,0.01,1.24,6.18,-14.85,-22.18,867.61,-28.02,-17.75,-21.03,-50.36,-28.08,-4.67,-5.48,-36.42,-3.21,1.73,51.83,5,653.1,7.8,13.89,10.77
326,Capri Global Capital Ltd.,CGCL,Finance (including NBFCs),40.0,9.5,12409.08,296.73,205.04,108.25,0.0,6.45,5.04,310.85,1136.13,4207.62,53.55,12.49,-18.91,15.87,53.58,-35.63,33.19,30.96,17.47,0.06,74.72,3,169.54,2.86,30.93,10.66
327,Indian Bank,INDIANB,Banks,70.0,83.67,19061.48,11556.02,4141.81,28464.07,0.44,0.49,2.35,-41.68,-44.52,-10.65,-46.2,-2.91,35.16,30.79,-40.63,40.01,1.36,1.3,-0.94,5.55,79.86,6,482.45,0.61,5.32,10.63
328,Siemens Ltd.,SIEMENS,Heavy Electrical Equipment,65.0,11.67,84778.0,4021.5,1051.2,-1469.0,0.0,8.18,10.16,83.94,81.83,236.98,1.7,51.31,-6.71,41.86,1.67,35.62,35.12,4.75,11.39,0.34,75.0,7,439.72,6.07,12.92,10.53
329,Larsen & Toubro Ltd.,LT,Construction & Engineering,50.0,37.67,218008.28,53366.26,8669.32,2140.92,0.76,2.29,2.88,0.04,36.76,159.05,9.89,16.6,-7.14,-25.15,9.96,76.21,13.9,-3.52,33.59,1.16,0.0,5,970.75,2.7,10.98,10.52
330,Shriram Transport Finance Company Ltd.,SRTRANSFIN,Finance (including NBFCs),50.0,40.83,33843.37,5087.59,2721.1,-388.49,2.6,1.3,5.04,13.87,26.44,142.03,31.32,7.6,2.8,8.89,44.21,59.07,10.54,16.28,5.26,1.6,26.45,3,1477.53,1.91,14.09,10.42
331,Alembic Pharmaceuticals Ltd.,APLLTD,Pharmaceuticals,55.0,31.83,14510.29,1426.01,539.44,27.15,0.0,2.77,6.18,48.91,46.4,1278.52,-85.88,-43.88,-57.62,-53.68,-85.38,-79.9,-0.87,-50.7,11.33,1.9,69.61,4,405.62,7.66,11.79,10.41
332,Glenmark Pharmaceuticals Ltd.,GLENMARK,Pharmaceuticals,65.0,53.5,10931.2,3126.35,958.82,14.2,0.28,1.16,6.18,-13.57,-38.3,5.85,-33.53,11.32,-16.14,-2.93,-33.47,-29.88,13.44,-8.24,-4.86,0.65,46.65,7,505.7,5.51,16.13,10.36
333,Minda Industries Ltd.,MINDAIND,Auto Parts & Equipment,75.0,15.83,26537.98,2438.29,355.3,-58.5,0.11,7.04,6.66,194.14,363.95,8498.15,-0.97,22.12,-15.34,71.95,2.89,42.53,30.45,-4.33,10.71,0.11,67.47,6,192.09,5.2,12.39,10.33
334,Graphite India Ltd.,GRAPHITE,Other Industrial Goods,80.0,56.67,7684.12,915.0,505.0,-133.89,0.0,1.55,6.68,15.1,152.76,347.44,46.5,331.61,-24.47,1674.19,48.44,-28.03,46.03,18.66,-4.09,1.27,65.34,8,384.48,8.01,14.06,10.2
